Country,City,Title,Price,Cleanliness,Accuracy,Check-in,Communication,Value,Bathroom,Bedroom and laundry,Entertainment,Heating and cooling,Privacy and safety,Internet and office,Kitchen and dining,Parking and facilities,Services
Sweden,Stockholm,Modern flat with a water view,626,,,10/7/2025,,,"Hair dryer, Shampoo, Body soap, Hot water, Shower gel","Washer, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage",TV,Radiant heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishwasher, Oven, Wine glasses, Blender, Dining table","Paid parking off premises, Paid parking on premises","Long term stays allowed
Allow stay for 28 days or more, Host greets you"
Sweden,Gothenburg,Double room courtyard view and cosy sleeping loft,,,,8/21/2025,,,"Hair dryer, Hot water, Shower gel","Washer, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage",TV,"Air conditioning, Heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Induction stove, Single oven, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Dining table","Shared outdoor pool - available all year, open specific hours, saltwater
open from 2:00 PM to 9:00 PM, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking lot off premises","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Smart lock, Cleaning available during stay"
Sweden,Gothenburg,"Bedroom for rent central area, Linne, Haga,",253,,,,,,"Shampoo, Hot water","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Iron",HDTV with standard cable,"Indoor fireplace: electric, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure"
Sweden,Gothenburg,Cosy Apt • Central Gothenburg,882,,,,,,0,"Washer, Clothing storage",TV,Portable fans,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: drip coffee maker, Toaster, Baking sheet, Dining table","Free parking garage on premises – 1 space, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",0
Sweden,Gothenburg,"Historic Charm, Modern Comfort",926,,,,,,"Hair dryer, Cleaning products, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron","55 inch HDTV with Netflix, Marshall Bluetooth sound system, Books and reading material",Radiant heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Stainless steel induction stove, Stainless steel single oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Dining table, Coffee",0,"Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Host greets you"
Sweden,Gothenburg,Fresh basement apartment of 46 SQM in a green environment.,,,,8/21/2025,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton Hemtex/Ikea linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Safe, Clothing storage: closet","48 inch HDTV with Netflix, Small BT speaker Bluetooth sound system","Portable fans, Central heating, Radiant heating",0,"Fast wifi – 165 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Electrolux refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Dishwasher, Electrolux stainless steel electric stove, Electrolux stainless steel oven, Hot water kettle, Coffee maker: pour-over coffee, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free carport on premises – 1 space, Free street parking, EV charger - level 2
220 volts, 12-35 miles per hour","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Sweden,Gothenburg,Room in Western Gothenburg,,,,,,,0,Washer,0,0,0,Wifi,0,0,0
Sweden,Gothenburg,Garage near Gothenburg City,462,,,8/21/2025,,,"Cleaning products, Hot water","Washer, Hangers, Bed linens
Cotton linens, Room-darkening shades, Drying rack for clothing, Clothing storage: closet",TV,Central heating,0,"Wifi, Pocket wifi","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other induction stove, Stainless steel oven, Hot water kettle, Coffee maker: drip coffee maker, Dining table","Free parking on premises, Single level home
No stairs in home","Self check-in, Lockbox"
Sweden,Gothenburg,"Newly renovated loft apartment in Gothenburg, Hisingen",,,,,,,"Hair dryer, Cleaning products, VO5 shampoo, V05 conditioner, Papilion - Sea Minerals body soap, Hot water","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton Ikea linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","TV, Sound system","Ceiling fan, Portable fans, Radiant heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other induction stove, ASCO stainless steel oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee","Free driveway parking on premises – 1 space, Free street parking","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Keypad
Check yourself into the home with a door code"
Sweden,Gothenburg,Comfortable home,,,,,,,"Shampoo, Body soap, Hot water","Free washer – In building, Bed linens
Cotton linens, Iron, Clothing storage",TV,Radiant heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Hot water kettle, Dining table",0,Host greets you
Sweden,Gothenburg,"Downtown, Liseberg, Ullevi, modern and fresh",,,,,,,"Hair dryer, Cleaning products, High quality shampoo, High quality conditioner, High quality body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton IKEA linens, Extra pillows and blankets, Iron, Drying rack for clothing, Clothing storage: closet and dresser","65 inch HDTV with Netflix, standard cable, DVD player, Record player, Books and reading material","Air conditioning, Portable fans, Central heating","Smoke alarm, Fire extinguisher, First aid kit","Fast wifi – 356 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace","Kitchen
Space where guests can cook their own meals, Electrolux refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Electric stove, Electrolux stainless steel single oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Rice maker, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking garage off premises, Paid parking on premises, Single level home
No stairs in home","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Cleaning available during stay, Host greets you"
Sweden,Gothenburg,Nice and bright 1st near Slottsskogen!,,,,9/13/2025,,,"Hair dryer, Shampoo, Dove body soap, Hot water, Shower gel","Free washer – In building, Free dryer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Iron",TV,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Coffee maker",0,"Self check-in, Lockbox"
Sweden,Gothenburg,Apartment in Gothenburg,454,,,,,,"Hair dryer, Shampoo, Hot water, Shower gel","Washer, Dryer, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","TV, Books and reading material",Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Bread maker","Free parking on premises, Paid parking on premises","Self check-in, Keypad
Check yourself into the home with a door code"
Sweden,Gothenburg,"Private cottage, quiet green oasis in the forest, close to swimming and town",,,,,,,"Hair dryer, Hot water","Hangers, Room-darkening shades, Iron, Clothing storage",TV,"Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Coffee maker, Wine glasses, Baking sheet","Free parking on premises, Paid parking on premises","Self check-in, Keypad
Check yourself into the home with a door code"
Sweden,Gothenburg,Cozy guesthouse in a villa,,,,,,,"Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In building, Free dryer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Safe, Clothing storage: closet",TV,"Central heating, Portable heater",0,Wifi,"Refrigerator, Microwave, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Hot water kettle, Coffee maker: drip coffee maker, Toaster, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Coffee","Free driveway parking on premises, Free street parking, EV charger - level 1
110 volts, 3-5 miles per hour","Self check-in, Lockbox"
Sweden,Gothenburg,Twin room with 2 single beds,,,,8/24/2025,,,"Hot water, Shower gel","Washer, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Room-darkening shades, Iron, Clothing storage: wardrobe",TV,"Air conditioning, Heating - split type ductless system",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Induction stove, Coffee maker: drip coffee maker, Toaster, Dining table","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking lot off premises","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Smart lock, Cleaning available during stay"
Sweden,Gothenburg,Room in open modern apartment,265,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Hangers, Bed linens
Egyptian cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: walk-in closet and dresser","Ethernet connection, 42 inch HDTV with Chromecast, Netflix, standard cable, Bluetooth sound system, Books and reading material, Movie theater","Central air conditioning, Heating","Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit","Fast wifi – 448 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a room with a door, Pocket wifi","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Samsung stainless steel induction stove, Oven, Hot water kettle, Coffee maker: drip coffee maker, espresso machine, Wine glasses, Toaster, Baking sheet, Blender, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee","Free driveway parking on premises – 1 space, Paid parking lot on premises, Single level home
No stairs in home","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Smoking allowed, Long term stays allowed
Allow stay for 28 days or more, Cleaning available during stay, Host greets you"
Sweden,Gothenburg,,,,,,,,0,0,0,0,0,0,0,0,0
Sweden,Gothenburg,,,,,,,,0,0,0,0,0,0,0,0,0
Sweden,Malmö,Private Studio Apartment - Light and Cozy,452,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In building, Free dryer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: walk-in closet","Ethernet connection, 55 inch HDTV with Chromecast, Amazon Prime Video, Netflix, Books and reading material","Central air conditioning, Portable fans, Central heating",0,"Wifi – 31 Mbps
Verified by speed test. Stream 4K videos and join video calls., Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, IKEA refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, IKEA induction stove, IKEA stainless steel oven, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee","Free parking on premises, Free street parking","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Smoking allowed, Long term stays allowed
Allow stay for 28 days or more, Cleaning available during stay"
Sweden,Malmö,Guest suite with Uterum near Malmö & Lund & Copenhagen,337,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Clothing storage: closet and dresser",32 inch TV,"Portable fans, Central heating",0,"Wifi, Dedicated workspace
In a room with a door","Kitchen
Space where guests can cook their own meals, AEG refrigerator, Microwave, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Other induction stove, Ikea Lagan stainless steel oven, Hot water kettle, Coffee maker: drip coffee maker, Baking sheet, Blender, Dining table, Coffee","Free residential garage on premises – 1 space, Free street parking, Single level home
No stairs in home","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Sweden,Malmö,Scandinavian Design Retreat 1 min from the Ocean,,,,,,,"Hair dryer, Shampoo, Conditioner, Body soap, Hot water","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage",TV,"Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee",Paid parking on premises,0
Sweden,Malmö,Entire guesthouse with a free parking,342,,,,,,"Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Paid dryer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Iron, Clothing storage",TV,"Window AC unit, Radiant heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Oven, Hot water kettle, Coffee maker: drip coffee maker, Trash compactor, Coffee","Free street parking, Single level home
No stairs in home","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Sweden,Malmö,Cosy loft living.,496,,,,,,"Hair dryer, Shampoo, Hot water","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Iron",TV with standard cable,Heating,0,"Wifi, Dedicated workspace
In a room with a door","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Stove, Oven, Coffee maker","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",Host greets you
Sweden,Malmö,Double room on the ground floor in a quiet villa area.,267,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Outdoor shower, Hot water, Shower gel","Free washer – In building, Free dryer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet","32 inch TV with Chromecast, Books and reading material","Central air conditioning, Indoor fireplace: wood-burning, Portable fans, Heating","Exterior security cameras on property
The house is equipped with a fire and burglar alarm including cameras. When guests stay in the house, the alarm including the cameras is turned off. The three outdoor cameras cover the entrance door, garage driveway and kitchen entrance., Smoke alarm, Fire extinguisher","Fast wifi – 526 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a room with a door","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Dining table, Coffee, Bread maker","Free parking on premises, Free street parking, Private sauna, Single level home
No stairs in home","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Self check-in, Keypad
Check yourself into the home with a door code"
Sweden,Malmö,LOcatiON.!Warm & Cozy.!City Center.!Free Parking:},,,,,,,"Hair dryer, Shampoo, Body soap, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage","Ethernet connection, TV","Portable fans, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Dining table, Coffee","Free driveway parking on premises – 1 space, Free street parking","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more"
Sweden,Malmö,Central apartment,722,,,,,,Hot water,"Washer – In building, Dryer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Iron, Clothing storage: dresser","TV, Books and reading material",Radiant heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other induction stove, Aeg stainless steel single oven, Coffee maker: drip coffee maker, Wine glasses, Blender, Dining table",0,"Long term stays allowed
Allow stay for 28 days or more, Self check-in, Smart lock"
Sweden,Malmö,Cozy Country Side Guesthouse,443,,,,,,"Cleaning products, Hot water","Free washer – In unit, Hangers, Bed linens, Room-darkening shades, Clothing storage","TV, Record player",Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Wine glasses, Baking sheet, Trash compactor","Free parking on premises, Single level home
No stairs in home","Pets allowed
Assistance animals are always allowed, Self check-in, Keypad
Check yourself into the home with a door code"
